date_long,year,id_no,country,region,source,latitude,longitude,magnitude_body,magnitude_surface,depth,yield_lower,yield_upper,purpose,name,type
19450716,1945,45001,USA,ALAMOGORDO,DOE,32.54,-105.57,0.0,0.0,-0.1,21.0,21.0,WEAPONS DEVELOPMENT,TRINITY,ATMOSPHERIC
19450805,1945,45002,USA,HIROSHIMA,DOE,34.23,132.27,0.0,0.0,-0.6,15.0,15.0,COMBAT,LITTLEBOY,ATMOSPHERIC
19450809,1945,45003,USA,NAGASAKI,DOE,32.45,129.52,0.0,0.0,-0.6,21.0,21.0,COMBAT,FATMAN,ATMOSPHERIC
19460630,1946,46001,USA,BIKINI,DOE,11.35,165.2,0.0,0.0,-0.2,21.0,21.0,EXPLOSION TEST,ABLE,ATMOSPHERIC
19460724,1946,46002,USA,BIKINI,DOE,11.35,165.2,0.0,0.0,0.03,21.0,21.0,EXPLOSION TEST,BAKER,ATMOSPHERIC
19480414,1948,48001,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,-0.08,37.0,37.0,WEAPONS DEVELOPMENT,X-RAY,ATMOSPHERIC
19480430,1948,48002,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,-0.08,49.0,49.0,WEAPONS DEVELOPMENT,YOKE,ATMOSPHERIC
19480514,1948,48003,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,-0.08,18.0,18.0,WEAPONS DEVELOPMENT,ZEBRA,ATMOSPHERIC
19490829,1949,49001,USSR,SEMI KAZAKH,DOE,48.0,76.0,0.0,0.0,0.0,22.0,22.0,WEAPONS DEVELOPMENT,,ATMOSPHERIC
19510127,1951,51001,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.35,1.0,1.0,WEAPONS DEVELOPMENT,ABLE,ATMOSPHERIC
19510128,1951,51002,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.35,8.0,8.0,WEAPONS DEVELOPMENT,BAKER,ATMOSPHERIC
19510201,1951,51003,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.35,1.0,1.0,WEAPONS DEVELOPMENT,EASY,ATMOSPHERIC
19510202,1951,51004,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.4,8.0,8.0,WEAPONS DEVELOPMENT,BAKER2,ATMOSPHERIC
19510206,1951,51005,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.5,22.0,22.0,WEAPONS DEVELOPMENT,FOX,ATMOSPHERIC
19510407,1951,51006,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,-0.1,81.0,81.0,WEAPONS DEVELOPMENT,DOG,ATMOSPHERIC
19510420,1951,51007,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,-0.1,47.0,47.0,WEAPONS DEVELOPMENT,EASY,ATMOSPHERIC
19510508,1951,51008,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,-0.07,225.0,225.0,WEAPONS DEVELOPMENT,GEORGE,ATMOSPHERIC
19510524,1951,51009,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,-0.07,45.5,45.5,WEAPONS DEVELOPMENT,ITEM,ATMOSPHERIC
19510924,1951,51010,USSR,SEMI KAZAKH,DOE,48.0,76.0,0.0,0.0,0.0,38.0,38.0,WEAPONS DEVELOPMENT,,ATMOSPHERIC
19511018,1951,51011,USSR,SEMI KAZAKH,DOE,48.0,76.0,0.0,0.0,0.0,42.0,42.0,WEAPONS DEVELOPMENT,,ATMOSPHERIC
19511022,1951,51012,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.03,0.0,0.1,WEAPONS DEVELOPMENT,ABLE,ATMOSPHERIC
19511028,1951,51013,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.4,3.5,3.5,WEAPONS DEVELOPMENT,BAKER,ATMOSPHERIC
19511030,1951,51014,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.4,14.0,14.0,WEAPONS DEVELOPMENT,CHARLIE,ATMOSPHERIC
19511101,1951,51015,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.5,21.0,21.0,WEAPONS DEVELOPMENT,DOG,ATMOSPHERIC
19511105,1951,51016,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.45,31.0,31.0,WEAPONS DEVELOPMENT,EASY,ATMOSPHERIC
19511119,1951,51017,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.001,1.2,1.2,EXPLOSION TEST,SUGAR,ATMOSPHERIC
19511129,1951,51018,USA,NTS,DOE,37.0,-116.0,0.0,0.0,0.01,1.2,1.2,EXPLOSION TEST,UNCLE,ATMOSPHERIC
19520401,1952,52001,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.25,1.0,1.0,EXPLOSION TEST,ABLE,ATMOSPHERIC
19520415,1952,52002,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.35,1.0,1.0,EXPLOSION TEST,BAKER,ATMOSPHERIC
19520422,1952,52003,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-1.15,31.0,31.0,WEAPONS DEVELOPMENT,CHARLIE,ATMOSPHERIC
19520501,1952,52004,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.35,19.0,19.0,WEAPONS DEVELOPMENT,DOG,ATMOSPHERIC
19520507,1952,52005,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.1,12.0,12.0,WEAPONS DEVELOPMENT,EASY,ATMOSPHERIC
19520525,1952,52006,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.1,11.0,11.0,WEAPONS DEVELOPMENT,FOX,ATMOSPHERIC
19520601,1952,52007,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.1,15.0,15.0,WEAPONS DEVELOPMENT,GEORGE,ATMOSPHERIC
19520605,1952,52008,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.1,14.0,14.0,WEAPONS DEVELOPMENT,HOW,ATMOSPHERIC
19521003,1952,52009,UK,MONTEB AUSTR,DOE,-20.4,115.57,0.0,0.0,-0.001,25.0,25.0,EXPLOSION TEST,HURRICANE,ATMOSPHERIC
19521031,1952,52010,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,-0.001,10400.0,10400.0,WEAPONS DEVELOPMENT,MIKE,ATMOSPHERIC
19521115,1952,52011,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,-0.5,500.0,500.0,WEAPONS DEVELOPMENT,KING,ATMOSPHERIC
19530317,1953,53001,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.1,16.0,16.0,WEAPONS DEVELOPMENT,ANNIE,ATMOSPHERIC
19530324,1953,53002,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.1,24.0,24.0,WEAPONS DEVELOPMENT,NANCY,ATMOSPHERIC
19530331,1953,53003,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.1,0.2,0.2,WEAPONS DEVELOPMENT,RUTH,ATMOSPHERIC
19530406,1953,53004,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-2.0,11.0,11.0,WEAPONS DEVELOPMENT,DIXIE,ATMOSPHERIC
19530411,1953,53005,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.03,0.2,0.2,WEAPONS DEVELOPMENT,RAY,ATMOSPHERIC
19530418,1953,53006,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.1,23.0,23.0,WEAPONS DEVELOPMENT,BADGER,ATMOSPHERIC
19530425,1953,53007,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.1,43.0,43.0,WEAPONS DEVELOPMENT,SIMON,ATMOSPHERIC
19530508,1953,53008,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.8,27.0,27.0,EXPLOSION TEST,ENCORE,ATMOSPHERIC
19530519,1953,53009,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.1,32.0,32.0,WEAPONS DEVELOPMENT,HARRY,ATMOSPHERIC
19530525,1953,53010,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.2,15.0,15.0,WEAPONS DEVELOPMENT,GRABLE,ATMOSPHERIC
19530604,1953,53011,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.4,61.0,61.0,WEAPONS DEVELOPMENT,CLIMAX,ATMOSPHERIC
19530812,1953,53012,USSR,SEMI KAZAKH,DOE,50.0,78.0,0.0,0.0,0.0,400.0,400.0,WEAPONS DEVELOPMENT,,ATMOSPHERIC
19530823,1953,53013,USSR,SEMI KAZAKH,DOE,50.0,78.0,0.0,0.0,0.0,28.0,28.0,WEAPONS DEVELOPMENT,,ATMOSPHERIC
19530903,1953,53014,USSR,SEMI KAZAKH,MTM,50.0,78.0,0.0,0.0,0.0,5.8,5.8,WEAPONS DEVELOPMENT,,ATMOSPHERIC
19530908,1953,53015,USSR,SEMI KAZAKH,MTM,50.0,78.0,0.0,0.0,0.0,1.6,1.6,WEAPONS DEVELOPMENT,,ATMOSPHERIC
19530910,1953,53016,USSR,SEMI KAZAKH,MTM,50.0,78.0,0.0,0.0,0.0,4.9,4.9,WEAPONS DEVELOPMENT,,ATMOSPHERIC
19531014,1953,53017,UK,EMU AUSTR,DOE,-28.7,132.35,0.0,0.0,0.0,10.0,10.0,WEAPONS DEVELOPMENT,TOTEM:1,ATMOSPHERIC
19531026,1953,53018,UK,EMU AUSTR,DOE,-28.7,132.35,0.0,0.0,0.0,8.0,8.0,WEAPONS DEVELOPMENT,TOTEM:2,ATMOSPHERIC
19540228,1954,54001,USA,BIKINI,DOE,11.35,165.2,0.0,0.0,-0.001,15000.0,15000.0,WEAPONS DEVELOPMENT,BRAVO,ATMOSPHERIC
19540326,1954,54002,USA,BIKINI,DOE,11.35,165.2,0.0,0.0,-0.001,11000.0,11000.0,WEAPONS DEVELOPMENT,ROMEO,ATMOSPHERIC
19540406,1954,54003,USA,BIKINI,DOE,11.35,165.2,0.0,0.0,-0.001,110.0,110.0,WEAPONS DEVELOPMENT,KOON,ATMOSPHERIC
19540425,1954,54004,USA,BIKINI,DOE,11.35,165.2,0.0,0.0,-0.001,6900.0,6900.0,WEAPONS DEVELOPMENT,UNION,ATMOSPHERIC
19540504,1954,54005,USA,BIKINI,DOE,11.35,165.2,0.0,0.0,-0.001,13500.0,13500.0,WEAPONS DEVELOPMENT,YANKEE,ATMOSPHERIC
19540513,1954,54006,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,-0.001,1690.0,1690.0,WEAPONS DEVELOPMENT,NECTAR,ATMOSPHERIC
19540914,1954,54007,USSR,ORENBG RUSS,DOE,52.0,55.0,0.0,0.0,0.0,40.0,40.0,MILITARY EXERCISE,,ATMOSPHERIC
19540929,1954,54008,USSR,SEMI KAZAKH,MTM,50.0,78.0,0.0,0.0,0.0,0.2,0.2,WEAPONS DEVELOPMENT,,ATMOSPHERIC
19541001,1954,54009,USSR,SEMI KAZAKH,MTM,50.0,78.0,0.0,0.0,0.0,0.03,0.03,WEAPONS DEVELOPMENT,,ATMOSPHERIC
19541003,1954,54010,USSR,SEMI KAZAKH,MTM,50.0,78.0,0.0,0.0,0.0,2.0,2.0,WEAPONS DEVELOPMENT,,ATMOSPHERIC
19541005,1954,54011,USSR,SEMI KAZAKH,MTM,50.0,78.0,0.0,0.0,0.0,4.0,4.0,WEAPONS DEVELOPMENT,,ATMOSPHERIC
19541008,1954,54012,USSR,SEMI KAZAKH,MTM,50.0,78.0,0.0,0.0,0.0,0.8,0.8,WEAPONS DEVELOPMENT,,ATMOSPHERIC
19541019,1954,54013,USSR,SEMI KAZAKH,MTM,50.0,78.0,0.0,0.0,0.0,0.0,0.001,WEAPONS DEVELOPMENT,,ATMOSPHERIC
19541023,1954,54014,USSR,SEMI KAZAKH,MTM,50.0,78.0,0.0,0.0,0.0,62.0,62.0,WEAPONS DEVELOPMENT,,ATMOSPHERIC
19541026,1954,54015,USSR,SEMI KAZAKH,DOE,50.0,78.0,0.0,0.0,0.0,2.8,2.8,WEAPONS DEVELOPMENT,,ATMOSPHERIC
19541030,1954,54016,USSR,SEMI KAZAKH,MTM,50.0,78.0,0.0,0.0,0.0,10.0,10.0,WEAPONS DEVELOPMENT,,ATMOSPHERIC
19550218,1955,55001,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.25,1.0,1.0,EXPLOSION TEST,WASP,ATMOSPHERIC
19550222,1955,55002,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.1,2.0,2.0,WEAPONS DEVELOPMENT,MOTH,ATMOSPHERIC
19550301,1955,55003,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.1,7.0,7.0,WEAPONS DEVELOPMENT,TESLA,ATMOSPHERIC
19550307,1955,55004,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.2,43.0,43.0,WEAPONS DEVELOPMENT,TURK,ATMOSPHERIC
19550312,1955,55005,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.1,4.0,4.0,WEAPONS DEVELOPMENT,HORNET,ATMOSPHERIC
19550322,1955,55006,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.2,8.0,8.0,WEAPONS DEVELOPMENT,BEE,ATMOSPHERIC
19550323,1955,55007,USA,NTS,DOE,37.0,-116.0,0.0,0.0,0.02,1.0,1.0,EXPLOSION TEST,ESS,ATMOSPHERIC
19550329,1955,55008,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.2,14.0,14.0,WEAPONS DEVELOPMENT,APPLE :1,ATMOSPHERIC
19550329,1955,55009,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.25,3.0,3.0,WEAPONS DEVELOPMENT,WASP PRIME,ATMOSPHERIC
19550406,1955,55010,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-12.0,3.0,3.0,EXPLOSION TEST,HA,ATMOSPHERIC
19550409,1955,55011,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.1,2.0,2.0,WEAPONS DEVELOPMENT,POST,ATMOSPHERIC
19550415,1955,55012,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.001,22.0,22.0,EXPLOSION TEST,MET,ATMOSPHERIC
19550505,1955,55013,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.2,29.0,29.0,WEAPONS DEVELOPMENT,APPLE:2,ATMOSPHERIC
19550514,1955,55014,USA,OFFUSWCOAST,DOE,29.0,-126.0,0.0,0.0,0.0,30.0,30.0,EXPLOSION TEST,WIGWAM,ATMOSPHERIC
19550515,1955,55015,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.2,28.0,28.0,WEAPONS DEVELOPMENT,ZUCCHINI,ATMOSPHERIC
19550729,1955,55016,USSR,SEMI KAZAKH,MTM,50.0,78.0,0.0,0.0,0.0,1.3,1.3,WEAPONS DEVELOPMENT,,ATMOSPHERIC
19550802,1955,55017,USSR,SEMI KAZAKH,DOE,50.0,78.0,0.0,0.0,0.0,12.0,12.0,WEAPONS DEVELOPMENT,,ATMOSPHERIC
19550805,1955,55018,USSR,SEMI KAZAKH,MTM,50.0,78.0,0.0,0.0,0.0,1.2,1.2,WEAPONS DEVELOPMENT,,ATMOSPHERIC
19550921,1955,55019,USSR,NZ RUSS,DOE,73.0,55.0,0.0,0.0,0.0,3.5,3.5,EXPLOSION TEST,,ATMOSPHERIC
19551101,1955,55022,USA,NTS,DOE,37.0,-116.0,0.0,0.0,0.0,0.0,0.0,SAFETY/EMERGENCY TEST,PROJECT 56:1,ATMOSPHERIC
19551103,1955,55023,USA,NTS,DOE,37.0,-116.0,0.0,0.0,0.0,0.0,0.0,SAFETY/EMERGENCY TEST,PROJECT 56:2,ATMOSPHERIC
19551105,1955,55024,USA,NTS,DOE,37.0,-116.0,0.0,0.0,0.0,0.0,0.0,SAFETY/EMERGENCY TEST,PROJECT 56:3,ATMOSPHERIC
19551106,1955,55020,USSR,SEMI KAZAKH,DOE,50.0,78.0,0.0,0.0,0.0,250.0,250.0,WEAPONS DEVELOPMENT,,ATMOSPHERIC
19551122,1955,55021,USSR,SEMI KAZAKH,DOE,50.0,78.0,0.0,0.0,0.0,1600.0,1600.0,WEAPONS DEVELOPMENT,,ATMOSPHERIC
19560118,1956,56001,USA,NTS,DOE,37.0,-116.0,0.0,0.0,-0.001,0.0,20.0,SAFETY/EMERGENCY TEST,PROJECT 56:4,ATMOSPHERIC
19560202,1956,56002,USSR,KAZAKH,MTM,46.0,61.0,0.0,0.0,0.0,0.3,0.3,EXPLOSION TEST,,ATMOSPHERIC
19560316,1956,56003,USSR,SEMI KAZAKH,DOE,50.0,78.0,0.0,0.0,0.0,14.0,14.0,WEAPONS DEVELOPMENT,,ATMOSPHERIC
19560325,1956,56004,USSR,SEMI KAZAKH,DOE,50.0,78.0,0.0,0.0,0.0,5.5,5.5,WEAPONS DEVELOPMENT,,ATMOSPHERIC
19560504,1956,56005,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,-0.001,40.0,40.0,WEAPONS DEVELOPMENT,LACROSSE,ATMOSPHERIC
19560516,1956,56006,UK,MONTEB AUSTR,DOE,-20.23,115.55,0.0,0.0,0.0,15.0,15.0,WEAPONS DEVELOPMENT,MOSAIC:Gl,ATMOSPHERIC
19560520,1956,56007,USA,BIKINI,DOE,11.35,165.2,0.0,0.0,-1.5,3800.0,3800.0,WEAPONS DEVELOPMENT,CHEROKEE,ATMOSPHERIC
19560527,1956,56008,USA,BIKINI,DOE,11.35,165.2,0.0,0.0,-0.001,3500.0,3500.0,WEAPONS DEVELOPMENT,ZUNI,ATMOSPHERIC
19560527,1956,56009,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,0.0,0.19,0.19,WEAPONS DEVELOPMENT,YUMA,ATMOSPHERIC
19560530,1956,56010,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,-0.1,14.9,14.9,WEAPONS DEVELOPMENT,ERIE,ATMOSPHERIC
19560606,1956,56011,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,-0.001,13.7,13.7,WEAPONS DEVELOPMENT,SEMINOLE,ATMOSPHERIC
19560611,1956,56012,USA,BIKINI,DOE,11.35,165.2,0.0,0.0,-0.001,365.0,365.0,WEAPONS DEVELOPMENT,FLATHEAD,ATMOSPHERIC
19560611,1956,56013,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,-0.1,8.0,8.0,WEAPONS DEVELOPMENT,BLACKFOOT,ATMOSPHERIC
19560613,1956,56014,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,0.0,1.49,1.49,WEAPONS DEVELOPMENT,KICKAPOO,ATMOSPHERIC
19560616,1956,56015,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,-0.2,1.7,1.7,WEAPONS DEVELOPMENT,OSAGE,ATMOSPHERIC
19560619,1956,56016,UK,MONTEB AUSTR,DOE,-20.4,115.53,0.0,0.0,0.0,60.0,60.0,WEAPONS DEVELOPMENT,MOSAIC:G2,ATMOSPHERIC
19560621,1956,56017,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,0.0,15.2,15.2,WEAPONS DEVELOPMENT,INCA,ATMOSPHERIC
19560625,1956,56018,USA,BIKINI,DOE,11.35,165.2,0.0,0.0,-0.001,1100.0,1100.0,WEAPONS DEVELOPMENT,DAKOTA,ATMOSPHERIC
19560702,1956,56019,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,0.0,360.0,360.0,WEAPONS DEVELOPMENT,MOHAWK,ATMOSPHERIC
19560708,1956,56020,USA,ENEWETAK,DOE,11.3,162.15,0.0,0.0,-0.001,1850.0,1850.0,WEAPONS DEVELOPMENT,APACHE,ATMOSPHERIC
